(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
8.952E+03  1062.0  2.85E+08  1.45E-05  4.49E-04  3.55E-04  2.11E-07  8.38E-01  1.62E-01  5.68E-10  6.35E-05  8.00E-06  1.88E-06
6.407E+03  1052.0  2.90E+08  1.42E-05  4.49E-04  3.55E-04  2.19E-07  8.38E-01  1.62E-01  8.05E-10  6.35E-05  7.76E-06  2.10E-06
4.584E+03  1045.0  2.96E+08  1.39E-05  4.48E-04  3.55E-04  2.26E-07  8.38E-01  1.62E-01  1.23E-09  6.35E-05  7.46E-06  2.39E-06
3.283E+03  1041.0  3.02E+08  1.36E-05  4.49E-04  3.55E-04  2.30E-07  8.38E-01  1.62E-01  2.14E-09  6.35E-05  7.07E-06  2.76E-06
2.351E+03  1038.0  3.08E+08  1.31E-05  4.49E-04  3.55E-04  2.34E-07  8.38E-01  1.62E-01  4.09E-09  6.35E-05  6.58E-06  3.23E-06
1.684E+03  1034.0  3.13E+08  1.25E-05  4.48E-04  3.55E-04  2.37E-07  8.38E-01  1.62E-01  8.49E-09  6.35E-05  5.95E-06  3.83E-06
1.207E+03  1030.0  3.19E+08  1.17E-05  4.48E-04  3.55E-04  2.41E-07  8.38E-01  1.62E-01  1.83E-08  6.35E-05  5.14E-06  4.61E-06
8.644E+02  1026.0  3.25E+08  1.07E-05  4.49E-04  3.55E-04  2.45E-07  8.38E-01  1.62E-01  3.88E-08  6.35E-05  4.15E-06  5.55E-06
6.189E+02  1022.0  3.30E+08  9.51E-06  4.48E-04  3.55E-04  2.49E-07  8.38E-01  1.62E-01  7.90E-08  6.36E-05  3.01E-06  6.66E-06
4.433E+02  1018.0  3.36E+08  8.30E-06  4.48E-04  3.55E-04  2.53E-07  8.37E-01  1.62E-01  1.48E-07  6.36E-05  1.89E-06  7.74E-06
3.176E+02  1012.0  3.41E+08  7.19E-06  4.49E-04  3.55E-04  2.60E-07  8.37E-01  1.62E-01  2.59E-07  6.36E-05  9.75E-07  8.64E-06
2.273E+02  1003.0  3.47E+08  6.29E-06  4.48E-04  3.55E-04  2.69E-07  8.37E-01  1.62E-01  4.27E-07  6.36E-05  3.77E-07  9.24E-06
1.626E+02   992.3  3.53E+08  5.55E-06  4.48E-04  3.55E-04  2.80E-07  8.37E-01  1.62E-01  6.69E-07  6.36E-05  1.02E-07  9.51E-06
1.163E+02   981.2  3.58E+08  4.83E-06  4.48E-04  3.55E-04  2.94E-07  8.37E-01  1.62E-01  1.01E-06  6.36E-05  1.84E-08  9.60E-06
8.334E+01   968.7  3.63E+08  3.97E-06  4.47E-04  3.55E-04  3.10E-07  8.35E-01  1.62E-01  1.47E-06  6.35E-05  2.39E-09  9.60E-06
5.961E+01   954.7  3.69E+08  2.93E-06  4.47E-04  3.55E-04  3.29E-07  8.35E-01  1.62E-01  2.05E-06  6.35E-05  2.39E-10  9.60E-06
4.263E+01   939.6  3.74E+08  1.86E-06  4.46E-04  3.55E-04  3.51E-07  8.34E-01  1.62E-01  2.67E-06  6.35E-05  2.12E-11  9.60E-06
3.049E+01   924.5  3.79E+08  9.86E-07  4.46E-04  3.55E-04  3.76E-07  8.33E-01  1.62E-01  3.22E-06  6.34E-05  2.48E-12  9.59E-06
2.183E+01   910.5  3.84E+08  4.47E-07  4.45E-04  3.55E-04  4.03E-07  8.31E-01  1.61E-01  3.66E-06  6.33E-05  7.67E-13  9.58E-06
1.562E+01   897.2  3.89E+08  1.89E-07  4.43E-04  3.55E-04  4.32E-07  8.29E-01  1.61E-01  4.04E-06  6.32E-05  4.26E-13  9.56E-06
1.119E+01   885.8  3.94E+08  9.08E-08  4.42E-04  3.56E-04  4.62E-07  8.25E-01  1.61E-01  4.38E-06  6.31E-05  2.73E-13  9.55E-06
8.025E+00   876.7  3.99E+08  5.39E-08  4.39E-04  3.56E-04  4.96E-07  8.21E-01  1.60E-01  4.66E-06  6.30E-05  1.84E-13  9.52E-06
5.761E+00   869.7  4.04E+08  3.79E-08  4.36E-04  3.57E-04  5.33E-07  8.15E-01  1.60E-01  4.74E-06  6.28E-05  1.33E-13  9.49E-06
4.146E+00   864.9  4.08E+08  2.82E-08  4.30E-04  3.58E-04  5.79E-07  8.06E-01  1.59E-01  4.34E-06  6.24E-05  1.03E-13  9.44E-06
